ticker,symbol,tframe,expiry,datetime,time,open,high,low,close,tick_volume,spread,real_volume
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-24 12:00:00,1632484800,2238.5,2249.6,2229.2,2249.6,39,1,45
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-24 15:00:00,1632495600,2252.5,2253.7,2252.5,2253.3,3,2,3
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-24 18:00:00,1632506400,2243.0,2250.0,2242.8,2242.8,8,13,12
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-26 21:00:00,1632690000,2245.9,2247.7,2245.9,2247.6,6,7,8
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-27 00:00:00,1632700800,2252.4,2257.7,2249.5,2257.7,8,1,8
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-27 06:00:00,1632722400,2260.0,2261.6,2260.0,2261.6,2,8,2
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-27 09:00:00,1632733200,2250.0,2252.0,2245.0,2245.0,5,1,5
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-27 12:00:00,1632744000,2245.3,2279.9,2240.9,2278.2,62,1,71
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-27 15:00:00,1632754800,2280.0,2284.9,2276.4,2276.4,28,1,28
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-27 18:00:00,1632765600,2282.5,2287.9,2272.7,2272.7,20,1,21
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-27 21:00:00,1632776400,2272.7,2272.7,2272.7,2272.7,1,13,1
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-28 00:00:00,1632787200,2270.0,2278.0,2267.9,2278.0,10,3,14
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-28 06:00:00,1632808800,2276.0,2276.0,2261.5,2262.2,6,29,13
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-28 09:00:00,1632819600,2268.7,2270.0,2268.0,2268.0,3,8,3
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-28 12:00:00,1632830400,2267.3,2270.5,2231.9,2244.4,70,1,89
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-28 15:00:00,1632841200,2233.2,2237.2,2227.0,2232.2,27,1,50
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-28 18:00:00,1632852000,2230.4,2240.1,2219.6,2224.6,30,1,40
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-28 21:00:00,1632862800,2230.6,2231.0,2230.6,2231.0,2,6,3
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 00:00:00,1632873600,2232.8,2239.0,2231.0,2233.0,24,1,39
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 03:00:00,1632884400,2237.0,2240.0,2237.0,2240.0,2,6,3
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 06:00:00,1632895200,2231.0,2239.9,2231.0,2239.9,7,5,8
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 09:00:00,1632906000,2244.0,2244.0,2238.0,2238.0,7,1,39
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 12:00:00,1632916800,2240.0,2240.0,2217.7,2229.9,31,1,49
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 15:00:00,1632927600,2230.0,2232.3,2211.6,2219.5,18,9,35
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 18:00:00,1632938400,2227.0,2230.0,2218.2,2221.1,9,2,12
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-29 21:00:00,1632949200,2225.5,2230.3,2225.0,2229.5,8,5,9
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 00:00:00,1632960000,2230.9,2230.9,2230.9,2230.9,1,6,1
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 03:00:00,1632970800,2230.3,2239.0,2230.3,2238.0,7,3,12
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 06:00:00,1632981600,2240.0,2248.0,2240.0,2245.8,9,2,10
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 09:00:00,1632992400,2244.9,2245.0,2235.5,2236.2,6,12,6
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 12:00:00,1633003200,2234.1,2235.0,2214.0,2214.0,24,1,36
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 15:00:00,1633014000,2212.0,2225.0,2198.4,2213.4,43,1,62
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 18:00:00,1633024800,2215.0,2220.0,2195.0,2198.0,23,1,34
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-09-30 21:00:00,1633035600,2200.5,2200.5,2200.0,2200.0,2,9,2
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-01 00:00:00,1633046400,2205.0,2205.0,2176.8,2177.3,20,1,26
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-01 03:00:00,1633057200,2179.8,2180.0,2176.7,2180.0,5,1,5
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-01 06:00:00,1633068000,2183.1,2185.0,2170.0,2174.5,11,6,15
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-01 09:00:00,1633078800,2185.1,2211.0,2185.1,2210.3,20,2,24
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-01 12:00:00,1633089600,2205.3,2215.0,2187.2,2201.9,42,1,51
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-01 15:00:00,1633100400,2200.5,2238.0,2198.5,2236.3,51,2,68
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-01 18:00:00,1633111200,2236.0,2245.5,2236.0,2239.2,19,1,24
M2K,M2KH22,H3,2022-03-18 23:59:00,2021-10-03 21:00:00,1633294800,2233.0,2243.3,2233.0,2241.1,3,7,3
